"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Extraction d'hydrocarbures (NAF rév. 2, niveau division, poste 06)";"Codes"
"idBank";"010537206";""
"Dernière mise à jour";"05/05/2023 08:45";""
"Période";"";""
"2023-03";"67.68";"A"
"2023-02";"69.79";"A"
"2023-01";"70.09";"A"
"2022-12";"71.2";"A"
"2022-11";"71.08";"A"
"2022-10";"67.69";"A"
"2022-09";"71.15";"A"
"2022-08";"73.62";"A"
"2022-07";"71.29";"A"
"2022-06";"73.55";"A"
"2022-05";"76.56";"A"
"2022-04";"75.06";"A"
"2022-03";"79.15";"A"
"2022-02";"78.25";"A"
"2022-01";"78.19";"A"
"2021-12";"76.49";"A"
"2021-11";"78.09";"A"
"2021-10";"66.47";"A"
"2021-09";"69.6";"A"
"2021-08";"82.03";"A"
"2021-07";"80.58";"A"
"2021-06";"82.15";"A"
"2021-05";"81.4";"A"
"2021-04";"74.18";"A"
"2021-03";"81.36";"A"
"2021-02";"82.3";"A"
"2021-01";"83.79";"A"
"2020-12";"83.42";"A"
"2020-11";"84.96";"A"
"2020-10";"83.62";"A"
"2020-09";"79.49";"A"
"2020-08";"82.71";"A"
"2020-07";"81.68";"A"
"2020-06";"74.89";"A"
"2020-05";"52.77";"A"
"2020-04";"59.07";"A"
"2020-03";"84.73";"A"
"2020-02";"85.02";"A"
"2020-01";"86.36";"A"
"2019-12";"87.54";"A"
"2019-11";"89.8";"A"
"2019-10";"91.13";"A"
"2019-09";"89.26";"A"
"2019-08";"89.28";"A"
"2019-07";"82.9";"A"
"2019-06";"75.38";"A"
"2019-05";"72.55";"A"
"2019-04";"90.12";"A"
"2019-03";"91.19";"A"
"2019-02";"93.71";"A"
"2019-01";"93.07";"A"
"2018-12";"92.31";"A"
"2018-11";"91.84";"A"
"2018-10";"93.07";"A"
"2018-09";"92.13";"A"
"2018-08";"93.22";"A"
"2018-07";"93.48";"A"
"2018-06";"94.73";"A"
"2018-05";"92.5";"A"
"2018-04";"93.41";"A"
"2018-03";"93.19";"A"
"2018-02";"90.63";"A"
"2018-01";"90.56";"A"
"2017-12";"91.71";"A"
"2017-11";"92.46";"A"
"2017-10";"90.2";"A"
"2017-09";"91.22";"A"
"2017-08";"89.66";"A"
"2017-07";"89.28";"A"
"2017-06";"90.03";"A"
"2017-05";"93.12";"A"
"2017-04";"92.65";"A"
"2017-03";"89.87";"A"
"2017-02";"88.42";"A"
"2017-01";"91.83";"A"
"2016-12";"94.07";"A"
"2016-11";"92.73";"A"
"2016-10";"94.2";"A"
"2016-09";"93.82";"A"
"2016-08";"97.67";"A"
"2016-07";"97.53";"A"
"2016-06";"97.2";"A"
"2016-05";"97.86";"A"
"2016-04";"101.01";"A"
"2016-03";"101.07";"A"
"2016-02";"102.52";"A"
"2016-01";"102.39";"A"
"2015-12";"102.03";"A"
"2015-11";"103.26";"A"
"2015-10";"99.98";"A"
"2015-09";"97.45";"A"
"2015-08";"99.24";"A"
