"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Extraction d'hydrocarbures (NAF rév. 2, niveau division, poste 06)";"Codes"
"idBank";"010537206";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"1990-01";"542.56";"A"
"1990-02";"535.86";"A"
"1990-03";"543.91";"A"
"1990-04";"527.22";"A"
"1990-05";"514.15";"A"
"1990-06";"495.06";"A"
"1990-07";"319.06";"A"
"1990-08";"465.63";"A"
"1990-09";"532.56";"A"
"1990-10";"533.44";"A"
"1990-11";"524.41";"A"
"1990-12";"514.61";"A"
"1991-01";"510.9";"A"
"1991-02";"507.4";"A"
"1991-03";"513.72";"A"
"1991-04";"516.54";"A"
"1991-05";"524.72";"A"
"1991-06";"592.79";"A"
"1991-07";"517.01";"A"
"1991-08";"514.53";"A"
"1991-09";"464.75";"A"
"1991-10";"501.45";"A"
"1991-11";"510.58";"A"
"1991-12";"520.08";"A"
"1992-01";"512.58";"A"
"1992-02";"520.55";"A"
"1992-03";"516.58";"A"
"1992-04";"514.52";"A"
"1992-05";"511.44";"A"
"1992-06";"493.18";"A"
"1992-07";"490.04";"A"
"1992-08";"482.36";"A"
"1992-09";"479.08";"A"
"1992-10";"494.28";"A"
"1992-11";"480.1";"A"
"1992-12";"489.95";"A"
"1993-01";"499.59";"A"
"1993-02";"501.62";"A"
"1993-03";"497.61";"A"
"1993-04";"505.27";"A"
"1993-05";"492.52";"A"
"1993-06";"479.0";"A"
"1993-07";"487.49";"A"
"1993-08";"496.31";"A"
"1993-09";"424.95";"A"
"1993-10";"483.24";"A"
"1993-11";"518.65";"A"
"1993-12";"528.8";"A"
"1994-01";"482.58";"A"
"1994-02";"511.57";"A"
"1994-03";"510.83";"A"
"1994-04";"509.97";"A"
"1994-05";"495.15";"A"
"1994-06";"525.81";"A"
"1994-07";"508.23";"A"
"1994-08";"519.96";"A"
"1994-09";"460.2";"A"
"1994-10";"479.37";"A"
"1994-11";"484.65";"A"
"1994-12";"476.86";"A"
"1995-01";"478.96";"A"
"1995-02";"470.09";"A"
"1995-03";"472.27";"A"
"1995-04";"465.56";"A"
"1995-05";"475.36";"A"
"1995-06";"401.65";"A"
"1995-07";"400.55";"A"
"1995-08";"453.92";"A"
"1995-09";"462.72";"A"
"1995-10";"461.14";"A"
"1995-11";"480.35";"A"
"1995-12";"441.38";"A"
"1996-01";"446.5";"A"
"1996-02";"425.42";"A"
"1996-03";"427.92";"A"
"1996-04";"423.64";"A"
"1996-05";"418.46";"A"
"1996-06";"372.83";"A"
"1996-07";"329.42";"A"
"1996-08";"368.81";"A"
"1996-09";"379.64";"A"
"1996-10";"363.56";"A"
"1996-11";"360.12";"A"
"1996-12";"354.03";"A"
"1997-01";"346.89";"A"
"1997-02";"350.52";"A"
"1997-03";"344.31";"A"
"1997-04";"352.75";"A"
"1997-05";"339.71";"A"
"1997-06";"335.92";"A"
"1997-07";"347.73";"A"
"1997-08";"332.78";"A"
"1997-09";"332.21";"A"
"1997-10";"332.8";"A"
"1997-11";"325.34";"A"
"1997-12";"333.4";"A"
"1998-01";"324.14";"A"
"1998-02";"322.22";"A"
"1998-03";"308.06";"A"
"1998-04";"322.74";"A"
"1998-05";"295.19";"A"
"1998-06";"296.07";"A"
"1998-07";"317.65";"A"
"1998-08";"311.52";"A"
"1998-09";"308.01";"A"
"1998-10";"313.62";"A"
"1998-11";"321.28";"A"
